pos	conj	neg	fml	onum	okuri	euphr	euphk	pos2
1	1	f	f	1	い			
1	1	f	t	1	いです			
1	1	t	f	1	くない			
1	1	t	t	1	くないです			
1	1	t	t	2	くありません			
1	2	f	f	1	かった			
1	2	f	t	1	かったです			
1	2	t	f	1	くなかった			
1	2	t	t	1	くなかったです			
1	2	t	t	2	くありませんでした			
1	3	f	f	1	くて			
1	3	t	f	1	くなくて			
1	4	f	f	1	ければ			
1	4	t	f	1	くなければ			
1	7	f	f	1	くさせる			
1	9	f	f	1	かろう			
1	9	f	t	1	いでしょう			
1	11	f	f	1	かったら			
1	11	t	f	1	くなかったら			
1	12	f	f	1	かったり			
2	1	f	f	1	だ			
2	1	f	t	1	です			
2	1	t	f	1	ではない			
2	1	t	t	1	ではありません			
2	1	t	t	2	ではないです			
2	2	f	f	1	だった			
2	2	f	t	1	でした			
2	2	t	f	1	ではなかった			
2	2	t	t	1	ではありませんでした			
2	3	f	f	1	で			
2	3	f	t	1	でありまして			
2	3	t	f	1	ではなくて			
2	4	f	f	1	なら			
2	4	f	f	2	ならば			
2	4	f	f	3	であれば			
2	9	f	f	1	だろう			
2	9	f	t	1	でしょう			
2	10	f	f	1	であれ			
2	11	f	f	1	だったら			
2	11	f	t	1	でしたら			
2	11	t	f	1	ではなかったら			
2	11	t	t	1	ではありませんでしたら			
2	12	f	f	1	だったり			
7	1	f	f	1	い			
7	1	f	t	1	いです			
7	1	t	f	1	くない	よ		
7	1	t	t	1	くないです	よ		
7	1	t	t	2	くありません	よ		
7	2	f	f	1	かった	よ		
7	2	f	t	1	かったです	よ		
7	2	t	f	1	くなかった	よ		
7	2	t	t	1	くなかったです	よ		
7	2	t	t	2	くありませんでした	よ		
7	3	f	f	1	くて	よ		
7	3	t	f	1	くなくて	よ		
7	4	f	f	1	ければ	よ		
7	4	t	f	1	くなければ	よ		
7	7	f	f	1	くさせる	よ		
7	9	f	f	1	かろう	よ		
7	9	f	t	1	いでしょう			
7	11	f	f	1	かったら	よ		
7	11	t	f	1	くなかったら	よ		
7	12	f	f	1	かったり	よ		
15	1	f	f	1	だ			
15	1	f	t	1	です			
15	1	t	f	1	ではない			
15	1	t	t	1	ではありません			
15	1	t	t	2	ではないです			
15	2	f	f	1	だった			
15	2	f	t	1	でした			
15	2	t	f	1	ではなかった			
15	2	t	t	1	ではありませんでした			
15	3	f	f	1	で			
15	3	f	t	1	でありまして			
15	3	t	f	1	ではなくて			
15	4	f	f	1	なら			
15	4	f	f	2	ならば			
15	4	f	f	3	であれば			
15	9	f	f	1	だろう			
15	9	f	t	1	でしょう			
15	10	f	f	1	であれ			
15	11	f	f	1	だったら			
15	11	f	t	1	でしたら			
15	11	t	f	1	ではなかったら			
15	11	t	t	1	ではありませんでしたら			
15	12	f	f	1	だったり			
17	1	f	f	1	だ			
17	1	f	t	1	です			
17	1	t	f	1	ではない			
17	1	t	t	1	ではありません			
17	1	t	t	2	ではないです			
17	2	f	f	1	だった			
17	2	f	t	1	でした			
17	2	t	f	1	ではなかった			
17	2	t	t	1	ではありませんでした			
17	3	f	f	1	で			
17	3	f	t	1	でありまして			
17	3	t	f	1	ではなくて			
17	4	f	f	1	なら			
17	4	f	f	2	ならば			
17	4	f	f	3	であれば			
17	9	f	f	1	だろう			
17	9	f	t	1	でしょう			
17	10	f	f	1	であれ			
17	11	f	f	1	だったら			
17	11	f	t	1	でしたら			
17	11	t	f	1	ではなかったら			
17	11	t	t	1	ではありませんでしたら			
17	12	f	f	1	だったり			
28	1	f	f	1	る			
28	1	f	t	1	ます			
28	1	t	f	1	ない			
28	1	t	t	1	ました			
28	2	f	f	1	た			
28	2	f	t	1	ました			
28	2	t	f	1	なかった			
28	2	t	t	1	ませんでした			
28	3	f	f	1	て			
28	3	f	t	1	まして			
28	3	t	f	1	なくて			
28	3	t	f	2	ないで			
28	3	t	t	1	ませんで			
28	4	f	f	1	れば			
28	4	f	t	1	ますなら			
28	4	f	t	2	ますならば			
28	4	t	f	1	なければ			
28	4	t	t	1	ませんなら			
28	4	t	t	2	ませんならば			
28	5	f	f	1	られる			
28	5	f	f	2	れる			
28	5	f	t	1	られます			
28	5	f	t	2	れます			
28	5	t	f	1	られない			
28	5	t	f	2	れない			
28	5	t	t	1	られません			
28	5	t	t	2	れません			
28	6	f	f	1	られる			
28	6	f	t	1	られます			
28	6	t	f	1	られない			
28	6	t	t	1	られません			
28	7	f	f	1	させる			
28	7	f	f	2	さす			
28	7	f	t	1	させます			
28	7	f	t	2	さします			
28	7	t	f	1	させない			
28	7	t	f	2	ささない			
28	7	t	t	1	させません			
28	7	t	t	2	さしません			
28	8	f	f	1	させられる			
28	8	f	t	1	させられます			
28	8	t	f	1	させられない			
28	8	t	t	1	させられません			
28	9	f	f	1	よう			
28	9	f	t	1	ましょう			
28	9	t	f	1	まい			
28	9	t	t	1	ますまい			
28	10	f	f	1	ろ			
28	10	f	t	1	なさい			
28	10	t	f	1	るな			
28	10	t	t	1	なさるな			
28	11	f	f	1	たら			
28	11	f	t	1	ましたら			
28	11	t	f	1	なかったら			
28	11	t	t	1	ませんでしたら			
28	12	f	f	1	たり			
28	12	f	t	1	ましたり			
28	12	t	f	1	なかったり			
28	12	t	t	1	ませんでしたり			
28	13	f	f	1	""			
29	1	f	f	1	る			
29	1	f	t	1	ます			
29	1	t	f	1	ない			
29	1	t	t	1	ました			
29	2	f	f	1	た			
29	2	f	t	1	ました			
29	2	t	f	1	なかった			
29	2	t	t	1	ませんでした			
29	3	f	f	1	て			
29	3	f	t	1	まして			
29	3	t	f	1	なくて			
29	3	t	f	2	ないで			
29	3	t	t	1	ませんで			
29	4	f	f	1	れば			
