1	std	Tokyo-ben (std)
2	ksb	Kansai-ben
3	ktb	Kanto-ben
4	kyb	Kyoto-ben
5	osb	Osaka-ben
6	tsb	Tosa-ben
7	thb	Hokaido-ben
8	tsug	Tsugaru-ben
9	kyu	Kyushu-ben
