1	syn	Synonym
2	ant	Antonym
3	see	See also
4	cf	C.f.
5	ex	Usage example
6	uses	Uses
7	pref	Preferred
8	kvar	Kanji variant
9	vtvi	Transitive-intransitive verb pair
